division_index time_step divided_cell_index divided_cell_IsEpidermal division_axisTheta divided_cell_x divided_cell_y cell_division_count av_in_frequency_modifier av_epi_frequency_modifier 
0 100000 44 1 1.0472 3.92265 11.9904 0 1.27179e+14 7.32749e+14
1 200000 45 1 1.17416 2.26276 12.7311 1 1.27179e+14 7.03439e+14
2 200000 46 1 -1.17416 -1.26276 12.7311 1 1.27179e+14 6.76383e+14
3 300000 6 0 0.32962 0.5 4.30868 1 1.21089e+14 7.56938e+14
4 300000 13 0 1.56919 -1.14408 5.26624 1 1.17984e+14 7.56938e+14
5 300000 17 0 1.84462 3.84159 6.13624 1 1.15034e+14 7.56938e+14
6 300000 19 0 1.68435 0.5 8.25739 1 1.12228e+14 7.56938e+14
7 300000 20 0 2.29824 -1.15625 7.09459 1 1.09556e+14 7.56938e+14
8 300000 24 0 2.35378 3.81089 7.89768 1 1.07008e+14 7.56938e+14
9 300000 25 0 2.31228 2.34469 9.11703 1 1.04576e+14 7.56938e+14
10 300000 26 0 1.76828 0.619166 9.99394 1 1.02253e+14 7.56938e+14
11 300000 27 0 0.474838 -1.22912 9.19084 1 1.0003e+14 7.56938e+14
12 300000 28 0 0.341233 -2.63303 8.10362 1 9.79014e+13 7.56938e+14
13 400000 2 0 0.455771 0.654531 1.57949 1 5.0848e+12 1.12031e+15
14 400000 9 0 1.08954 5.83404 2.96674 1 4.98103e+12 1.12031e+15
15 400000 10 0 0.105829 4.27527 3.93871 1 4.88141e+12 1.12031e+15
16 400000 34 0 1.72016 -1.85738 12.1668 1 4.78569e+12 1.12031e+15
17 500000 11 0 2.44128 2.11007 4.90744 1 4.52416e+13 1.12635e+15
18 500000 36 0 1.80876 -5.77003 8.99635 1 4.4388e+13 1.12635e+15
19 500000 54 1 1.1517 -1.33548 -1.2732 1 4.4388e+13 1.08463e+15
20 500000 58 1 1.53506 0.923569 14.3144 1 4.4388e+13 1.0459e+15
21 600000 0 0 2.60926 0.915576 -0.763182 1 1.54063e+13 1.89783e+15
22 600000 18 0 0.756555 2.11547 7.64437 1 1.51262e+13 1.89783e+15
23 600000 32 0 0.72652 3.66583 12.2114 1 1.4856e+13 1.89783e+15
24 600000 33 0 1.18764 0.972496 12.855 1 1.45954e+13 1.89783e+15
25 600000 53 1 0.876667 -3.58178 -0.324481 1 1.45954e+13 1.83238e+15
26 700000 15 0 2.95278 -5.33461 2.93028 1 9.10951e+14 2.50293e+16
27 700000 52 1 0.659957 -5.64253 1.17359 1 9.10951e+14 2.4195e+16
28 800000 12 0 0.434402 0.134618 6.8629 1 9.76244e+14 1.05164e+17
29 800000 30 0 1.52252 7.40065 8.8053 1 9.59973e+14 1.05164e+17
30 800000 39 1 -0.810281 6.6756 0.477951 1 9.59973e+14 1.01771e+17
31 800000 55 1 -1.33361 1.7906 -2.48127 1 9.59973e+14 9.85908e+16
32 800000 60 1 0.209937 -7.1948 2.79416 1 9.59973e+14 9.56032e+16
33 900000 22 0 0.111137 -5.86844 5.46378 1 3.65797e+14 3.67997e+16
34 900000 40 1 -0.0503375 8.68476 4.13821 1 3.65797e+14 3.57174e+16
35 900000 48 1 -0.793903 -6.69522 11.3238 1 3.65797e+14 3.46969e+16
36 1000000 44 1 0.787946 6.36537 12.6695 1 6.25057e+14 1.72874e+17
37 1100000 14 0 1.06436 -3.76594 3.16639 1 2.9662e+14 1.54115e+17
38 1100000 51 1 -0.00566499 -7.639 4.81827 1 2.9662e+14 1.4995e+17
39 1300000 21 0 0.572425 -4.45102 5.94161 1 6.34719e+14 2.66616e+17
40 1400000 29 0 1.1388 -6.14231 8.27038 1 6.57051e+14 2.70148e+17
41 1400000 31 0 2.14648 5.83549 11.0208 1 6.46942e+14 2.70148e+17
42 1500000 70 0 1.42609 -0.390937 11.4814 2 6.91336e+14 2.67411e+17
43 1600000 61 1 1.2284 2.93485 14.836 2 6.77853e+14 2.51228e+17
44 1700000 33 0 0.674804 1.46793 13.2619 2 6.61295e+14 2.51955e+17
45 1800000 32 0 1.26922 4.82088 12.02 2 6.94108e+14 2.47611e+17
46 1900000 35 0 1.2311 -5.25972 11.8255 1 6.86491e+14 2.4601e+17
47 1900000 84 0 0.141503 -0.841364 13.8669 2 6.76684e+14 2.4601e+17
48 2000000 34 0 1.56752 -2.54573 13.5228 2 8.14987e+14 2.58847e+17
49 2000000 45 1 0.992282 5.34227 14.146 2 8.14987e+14 2.5221e+17
50 2000000 46 1 -1.25475 -2.60435 15.4624 2 8.14987e+14 2.45905e+17
51 2000000 62 1 -1.10494 -4.13494 15.0667 2 8.14987e+14 2.39907e+17
52 2000000 80 1 1.25059 0.788161 15.8908 2 8.14987e+14 2.34195e+17
53 2000000 83 0 0.857532 3.43476 13.4638 2 8.03668e+14 2.34195e+17
54 2100000 76 0 2.31337 -5.37891 13.1313 2 7.13837e+14 1.96202e+17
55 2500000 104 0 2.60422 1.10193 14.4965 3 7.16765e+14 2.11038e+17
56 2700000 71 0 1.86114 -3.43214 11.8718 2 7.32982e+14 2.31566e+17
57 2800000 33 0 1.63425 2.51983 13.4805 3 7.24452e+14 2.32489e+17
58 2800000 103 1 1.02018 3.40181 16.0063 3 7.24452e+14 2.27082e+17
59 2900000 34 0 3.1031 -2.34265 14.2587 3 6.94906e+14 2.26261e+17
60 2900000 84 0 1.56571 -0.708055 15.3637 3 6.85997e+14 2.26261e+17
61 3200000 108 0 3.05753 -4.1746 13.8892 3 7.32502e+14 2.40611e+17
62 3400000 62 1 -1.04442 -5.91213 15.7365 3 7.77786e+14 2.46183e+17
63 3400000 104 0 2.33565 1.89923 15.3772 4 7.68064e+14 2.46183e+17
64 3400000 107 0 2.19497 -0.850804 13.7552 3 7.58581e+14 2.46183e+17
65 3500000 58 1 -1.41971 -0.609143 17.7404 2 8.19608e+14 2.7321e+17
66 3900000 84 0 1.94289 0.750036 15.9405 4 8.13376e+14 2.72639e+17
67 3900000 120 0 0.901836 -1.2355 16.1318 4 8.03576e+14 2.72639e+17
68 4000000 46 1 -1.18377 -4.58816 17.0228 3 9.23218e+14 2.78001e+17
69 4100000 119 0 0.290977 -3.19352 15.8069 4 9.46382e+14 2.92325e+17
70 4200000 108 0 1.18141 -5.08819 14.9615 4 9.52944e+14 2.89735e+17
71 4200000 118 1 1.14126 4.75772 16.9098 4 9.52944e+14 2.8357e+17
72 4300000 125 1 1.49769 -0.058794 17.8827 3 9.38137e+14 2.60341e+17
73 4400000 33 0 1.0652 4.28401 14.1716 4 9.03618e+14 2.52099e+17
74 4600000 104 0 1.38239 3.43076 16.9393 5 8.80037e+14 2.35583e+17
75 4800000 123 0 1.43712 2.46411 15.2982 5 8.73192e+14 2.29415e+17
76 4900000 127 0 0.291515 -1.25475 16.2488 5 8.65069e+14 2.2467e+17
77 5100000 112 1 1.54538 1.83984 19.3255 3 8.98248e+14 2.19992e+17
